t,p1,p2,p3,p4,p5,p6,v1,v2,v3,v4,v5,v6,pc1,pc2,pc3,pc4,pc5,pc6,vc1,vc2,vc3,vc4,vc5,vc6,j1,j2,j3,j4,j5,j6,t1,t2,t3,t4,t5,t6,Fx,Fy,Fz,Mx,My,Mz
0,0.397394,-0.000144501,0.210309,3.14099,-0.282899,-0.000175579,0,0,0,0,0,0,0.397394,-0.000144501,0.210309,3.14099,-0.282899,-0.000175579,0,0,0,0,0,0,1.29189e-19,0.801513,1.05252,3.14096,-1.57046,6.92476e-24,0,0,0,0,-0,0,0,0,0,0,0,0
0.001,0.397393,-0.000144501,0.210304,3.14099,-0.28291,-0.000175585,-6.6912e-05,1.682e-09,-0.000302702,1.3496e-07,-0.000703032,-4.2824e-07,0.397405,-0.000144453,0.210289,3.13994,-0.283852,-0.00017552,0,0,0,0,0,0,-2.05469e-11,0.801524,1.05252,3.14096,-1.57046,9.5998e-10,0.102066,0.467117,-0.443573,-0.138064,-0.281846,0.00312951,0,0,0,0,0,0
0.002,0.397385,-0.000146677,0.210293,3.14098,-0.282969,-0.000178152,-0.000597587,-0.000136682,-0.000989957,-0.000592382,-0.00436292,-0.000161687,0.397416,-0.000144405,0.210269,3.1389,-0.284805,-0.000175462,0,0,0,0,0,0,1.56215e-07,0.801556,1.05252,3.14095,-1.57048,3.42757e-07,0.206854,0.788962,-0.930145,-0.254295,-0.511164,0.00630083,0,0,0,0,0,0
0.003,0.397371,-0.000151475,0.210276,3.14096,-0.283067,-0.000184154,-0.00139702,-0.000429569,-0.00202189,-0.00188006,-0.0102549,-0.000528614,0.397427,-0.000144357,0.210249,3.13785,-0.285757,-0.000175403,0,0,0,0,0,0,6.85356e-07,0.801613,1.05251,3.14093,-1.57053,1.01386e-06,0.314247,0.936043,-1.40738,-0.344771,-0.69579,0.00952425,0,0,0,0,0,0
0.004,0.397356,-0.000158319,0.210252,3.14093,-0.283196,-0.000193178,-0.00229336,-0.000832595,-0.00336782,-0.00368867,-0.0176863,-0.00106242,0.397438,-0.000144309,0.210229,3.1368,-0.28671,-0.000175344,0,0,0,0,0,0,1.78593e-06,0.801695,1.05249,3.1409,-1.5706,2.01921e-06,0.422692,0.888685,-1.8356,-0.415865,-0.846939,0.0127799,0,0,0,0,0,0
0.005,0.397339,-0.000166646,0.210223,3.14089,-0.283348,-0.000204834,-0.00317431,-0.00130353,-0.00499794,-0.00585879,-0.0261547,-0.001728,0.397449,-0.00014426,0.210208,3.13575,-0.287663,-0.000175286,0,0,0,0,0,0,3.65617e-06,0.801804,1.05245,3.14086,-1.57069,3.36204e-06,0.530754,0.642087,-2.19242,-0.47343,-0.973628,0.0160495,0,0,0,0,0,0
0.006,0.397323,-0.000176026,0.210188,3.14085,-0.28352,-0.000218887,-0.00398315,-0.00181095,-0.00688432,-0.0082749,-0.0353314,-0.00250244,0.39746,-0.000144212,0.210188,3.13471,-0.288616,-0.000175227,0,0,0,0,0,0,6.49311e-06,0.80194,1.05239,3.14082,-1.57079,5.04359e-06,0.637274,0.205495,-2.47208,-0.521709,-1.08316,0.0193199,0,0,0,0,0,0
0.007,0.397308,-0.000186134,0.210147,3.1408,-0.28371,-0.000235235,-0.00470983,-0.00233232,-0.00900061,-0.0108571,-0.0450334,-0.00337239,0.39747,-0.000144164,0.210168,3.13366,-0.289569,-0.000175169,0,0,0,0,0,0,1.04896e-05,0.8021,1.05231,3.14077,-1.57089,7.06361e-06,0.741335,-0.399972,-2.68284,-0.563637,-1.18141,0.0225814,0,0,0,0,0,0
0.008,0.397293,-0.00019673,0.210101,3.14074,-0.283917,-0.000253863,-0.00537911,-0.00285152,-0.0113211,-0.0135506,-0.0551892,-0.0043309,0.397481,-0.000144116,0.210148,3.13261,-0.290522,-0.00017511,0,0,0,0,0,0,1.58316e-05,0.802283,1.05221,3.14071,-1.57101,9.42077e-06,0.842206,-1.14446,-2.84315,-0.601225,-1.27295,0.0258278,0,0,0,0,0,0
0.009,0.397277,-0.000207627,0.21005,3.14069,-0.284141,-0.000274812,-0.00603726,-0.00335703,-0.0138193,-0.0163182,-0.0657995,-0.00537507,0.397492,-0.000144068,0.210128,3.13157,-0.291475,-0.000175052,0,0,0,0,0,0,2.26964e-05,0.802487,1.05211,3.14065,-1.57114,1.2113e-05,0.939306,-1.99296,-2.97723,-0.635839,-1.36113,0.0290544,0,0,0,0,0,0
